Class Name,Accuracy
"('cellular telephone', 'cellular phone', 'cellphone', 'cell', 'mobile phone')",68.0
"('chain',)",22.0
"('chainlink fence',)",62.0
"('chain mail', 'ring mail', 'mail', 'chain armor', 'chain armour', 'ring armor', 'ring armour')",50.0
"('chain saw', 'chainsaw')",74.0
"('chest',)",50.0
"('chiffonier', 'commode')",24.0
"('chime', 'bell', 'gong')",48.0
"('china cabinet', 'china closet')",64.0
"('Christmas stocking',)",92.0
"('church', 'church building')",46.0
"('cinema', 'movie theater', 'movie theatre', 'movie house', 'picture palace')",62.0
"('cleaver', 'meat cleaver', 'chopper')",24.0
"('cliff dwelling',)",92.0
"('cloak',)",50.0
"('clog', 'geta', 'patten', 'sabot')",46.0
"('cocktail shaker',)",42.0
"('coffee mug',)",56.0
"('coffeepot',)",34.0
"('coil', 'spiral', 'volute', 'whorl', 'helix')",52.0
"('combination lock',)",38.0
"('computer keyboard', 'keypad')",28.0
"('confectionery', 'confectionary', 'candy store')",80.0
"('container ship', 'containership', 'container vessel')",94.0
"('convertible',)",84.0
"('corkscrew', 'bottle screw')",58.0
"('cornet', 'horn', 'trumpet', 'trump')",44.0
"('cowboy boot',)",72.0
"('cowboy hat', 'ten-gallon hat')",78.0
"('cradle',)",0.0
"('crash helmet',)",94.0
"('crate',)",54.0
"('crib', 'cot')",86.0
"('Crock Pot',)",64.0
"('croquet ball',)",74.0
"('crutch',)",48.0
"('cuirass',)",80.0
"('dam', 'dike', 'dyke')",88.0
"('desk',)",64.0
"('desktop computer',)",28.0
"('dial telephone', 'dial phone')",90.0
"('diaper', 'nappy', 'napkin')",32.0
"('digital clock',)",64.0
"('digital watch',)",84.0
"('dining table', 'board')",92.0
"('dishrag', 'dishcloth')",80.0
"('dishwasher', 'dish washer', 'dishwashing machine')",44.0
"('disk brake', 'disc brake')",86.0
"('dock', 'dockage', 'docking facility')",26.0
"('dogsled', 'dog sled', 'dog sleigh')",96.0
"('dome',)",84.0
"('doormat', 'welcome mat')",70.0
"('drilling platform', 'offshore rig')",82.0
"('drum', 'membranophone', 'tympan')",62.0
"('drumstick',)",52.0
"('dumbbell',)",52.0
"('Dutch oven',)",72.0
"('electric fan', 'blower')",82.0
"('electric guitar',)",84.0
"('electric locomotive',)",82.0
"('entertainment center',)",86.0
"('envelope',)",40.0
"('espresso maker',)",20.0
"('face powder',)",82.0
"('feather boa', 'boa')",80.0
"('file', 'file cabinet', 'filing cabinet')",74.0
"('fireboat',)",100.0
"('fire engine', 'fire truck')",84.0
"('fire screen', 'fireguard')",50.0
"('flagpole', 'flagstaff')",76.0
"('flute', 'transverse flute')",24.0
